City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,barabash,43.2,131.48,21.2,73,21,2.24,RU,1605020836
372,usinsk,65.99,57.53,18.5,94,29,12.75,RU,1605020836
373,marystown,47.17,-55.15,54.0,100,44,5.99,CA,1605020836
374,sveti nikole,41.87,21.95,51.8,71,0,2.24,MK,1605020836
375,karatuzskoye,53.61,92.87,33.71,91,100,4.38,RU,1605020836
376,matagami,49.75,-77.63,57.2,93,90,11.41,CA,1605020837
377,schramberg,48.22,8.39,55.99,81,69,1.36,DE,1605020837
378,vanimo,-2.67,141.3,80.91,77,80,3.02,PG,1605020837
379,ratnagiri,16.98,73.3,76.08,63,0,8.9,IN,1605020837
380,hervey bay,-25.3,152.85,64.99,80,1,3.0,AU,1605020838
381,canazas,8.32,-81.22,80.11,79,96,3.78,PA,1605020838
382,portland,45.52,-122.68,43.0,87,75,4.7,US,1605020651
